Reading PCAP data...

Generated CSV file from ../demo-muteeb.pcap...

Merged common columns in dataset...

Dataset preprocess completed...

Accuracy...

Logistic_Regression_Model           6.77%
Naive_Bayes                         32.28%
Gradient_Boosting_Classifier_Model  56.73%
Decision_Tree_Classifier_Model      71.9%
K_Neighbors_Classifier_Model        23.24%
Random_Forest_Classifier_Model      77.77%

Prediction...

Packet Time                  Logistic_Regression          Naive_Bayes                  Gradient_Boosting_Classifier Decision_Tree_Classifier     K_Neighbors_Classifier       Random_Forest_Classifier     Actual Packet Protocol      
131-1645977863.172341        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
132-1645977863.173246        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
133-1645977863.173246        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
134-1645977863.173247        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
135-1645977863.173247        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
136-1645977863.173248        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
137-1645977863.173248        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
138-1645977863.173248        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
139-1645977863.174111        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
140-1645977863.174112        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
141-1645977863.174112        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
142-1645977863.174112        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
143-1645977863.174113        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
144-1645977863.174113        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
145-1645977863.174113        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
