frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.checksum,udp.srcport,udp.dstport,udp.length,udp.checksum,quic
1,1644570364.383008000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895e,0x40,0,1,0,0,56,17,0x80a9,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xc4ce,quic
1,1644570364.383156000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895f,0x40,0,1,0,0,56,17,0x80a8,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xdc3f,quic
1,1644570364.383157000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8960,0x40,0,1,0,0,56,17,0x80a7,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xe2f7,quic
1,1644570364.383158000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8961,0x40,0,1,0,0,56,17,0x80a6,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x6956,quic
1,1644570364.383160000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x5e97,0x00,0,0,0,0,64,17,0xe7f3,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0x81a6,quic
1,1644570364.383286000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8962,0x40,0,1,0,0,56,17,0x80a5,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x596c,quic
1,1644570364.383287000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8963,0x40,0,1,0,0,56,17,0x80a4,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x558e,quic
1,1644570364.383287000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8964,0x40,0,1,0,0,56,17,0x80a3,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x15d6,quic
1,1644570364.383319000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa2e9,0x00,0,0,0,0,64,17,0xa3a1,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0xf1b1,quic
1,1644570364.383665000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8965,0x40,0,1,0,0,56,17,0x80a2,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x0e89,quic
1,1644570364.383666000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8966,0x40,0,1,0,0,56,17,0x80a1,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xd47f,quic
1,1644570364.384488000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8967,0x40,0,1,0,0,56,17,0x80a0,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xf0a2,quic
1,1644570364.384489000,804,804,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8968,0x40,0,1,0,0,56,17,0x8255,104.26.10.240,192.168.0.103,790,0x00,,,,,443,54983,770,0x2888,quic
1,1644570364.384489000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8969,0x40,0,1,0,0,56,17,0x809e,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x5c3a,quic
1,1644570364.384489000,787,787,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896a,0x40,0,1,0,0,56,17,0x8264,104.26.10.240,192.168.0.103,773,0x00,,,,,443,54983,753,0xa16e,quic
1,1644570364.384490000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896b,0x40,0,1,0,0,56,17,0x809c,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xcd68,quic
1,1644570364.384491000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896c,0x40,0,1,0,0,56,17,0x809b,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xf60a,quic
1,1644570364.384491000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896d,0x40,0,1,0,0,56,17,0x809a,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xadd4,quic
1,1644570364.384814000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x69a5,0x00,0,0,0,0,64,17,0xdce5,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0xf20f,quic
1,1644570364.385722000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x2bab,0x00,0,0,0,0,64,17,0x1a09,192.168.0.103,104.18.11.207,73,0x00,,,,,50929,443,53,0xf625,quic
1,1644570364.394119000,93,93,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x1ea2,0x00,0,0,0,0,64,17,0x27e3,192.168.0.103,104.26.10.240,79,0x00,,,,,54983,443,59,0x576b,quic
1,1644570364.397894000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896e,0x40,0,1,0,0,56,17,0x8099,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x567c,quic
1,1644570364.397895000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x896f,0x40,0,1,0,0,56,17,0x8098,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xe870,quic
1,1644570364.397895000,693,693,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8970,0x40,0,1,0,0,56,17,0x82bc,104.26.10.240,192.168.0.103,679,0x00,,,,,443,54983,659,0x7282,quic
1,1644570364.398147000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8971,0x40,0,1,0,0,56,17,0x8096,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xa825,quic
1,1644570364.398148000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8972,0x40,0,1,0,0,56,17,0x8095,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xf9e5,quic
1,1644570364.398149000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8973,0x40,0,1,0,0,56,17,0x8094,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x8c15,quic
1,1644570364.398149000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8974,0x40,0,1,0,0,56,17,0x8093,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x24e6,quic
1,1644570364.398150000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8975,0x40,0,1,0,0,56,17,0x8092,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x72a0,quic
1,1644570364.398453000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8976,0x40,0,1,0,0,56,17,0x8091,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xdb2c,quic
1,1644570364.398453000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8977,0x40,0,1,0,0,56,17,0x8090,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xe70e,quic
1,1644570364.398454000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8978,0x40,0,1,0,0,56,17,0x808f,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xcb20,quic
1,1644570364.398455000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8979,0x40,0,1,0,0,56,17,0x808e,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x0e81,quic
1,1644570364.398455000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x897a,0x40,0,1,0,0,56,17,0x808d,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x2071,quic
