frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,srcport,dstport,length,checksum,quic
1,1644570364.42171,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x9312,1
1,1644570364.421812,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x0c29,1
1,1644570364.421813,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x0937,1
1,1644570364.421911,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x62f3,1
1,1644570364.421912,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x9b7b,1
1,1644570364.421999,153,153,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x68cf,0x00,0,0,0,0,64,17,0x0126,192.168.0.103,142.250.192.99,139,0x00,54205,443,119,0xb3da,1
1,1644570364.422018,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c3c,0x40,0,1,0,0,56,17,0x9cf4,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x9966,1
1,1644570364.422018,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c3d,0x40,0,1,0,0,56,17,0x9cf3,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x2f9d,1
1,1644570364.42217,77,77,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa571,0x00,0,0,0,0,64,17,0xc4cf,192.168.0.103,142.250.192.99,63,0x00,54205,443,43,0x2036,1
1,1644570364.422186,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x07fb,0x00,0,0,0,0,64,17,0x6248,192.168.0.103,142.250.192.99,61,0x00,54205,443,41,0x139c,1
1,1644570364.422215,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c3e,0x40,0,1,0,0,56,17,0x9cf2,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x9968,1
1,1644570364.422216,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c3f,0x40,0,1,0,0,56,17,0x9cf1,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x92d7,1
1,1644570364.422226,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x0340,0x00,0,0,0,0,64,17,0x6703,192.168.0.103,142.250.192.99,61,0x00,54205,443,41,0x3468,1
1,1644570364.422273,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c40,0x40,0,1,0,0,56,17,0x9cf0,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x622a,1
1,1644570364.422273,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c41,0x40,0,1,0,0,56,17,0x9cef,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x7ca2,1
1,1644570364.422274,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c42,0x40,0,1,0,0,56,17,0x9cee,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0xac0f,1
1,1644570364.422319,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x352f,0x00,0,0,0,0,64,17,0x3514,192.168.0.103,142.250.192.99,61,0x00,54205,443,41,0xba59,1
1,1644570364.422394,75,75,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x14a1,0x00,0,0,0,0,64,17,0x55a2,192.168.0.103,142.250.192.99,61,0x00,54205,443,41,0x7d81,1
1,1644570364.422494,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa76d,0x00,0,0,0,0,64,17,0x9e46,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0xf2e8,1
1,1644570364.422496,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xc301,0x00,0,0,0,0,64,17,0x82b2,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x4480,1
1,1644570364.422544,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x6c7c,0x00,0,0,0,0,64,17,0xd937,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x232a,1
1,1644570364.422558,642,642,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c43,0x40,0,1,0,0,56,17,0x9f45,104.18.11.207,192.168.0.103,628,0x00,443,50929,608,0x739d,1
1,1644570364.422559,1288,1288,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c86,142.250.192.99,192.168.0.103,1274,0x00,443,54205,1254,0xf6e1,1
1,1644570364.422559,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c44,0x40,0,1,0,0,56,17,0x9cec,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0xaf7d,1
1,1644570364.422895,77,77,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xc984,0x00,0,0,0,0,64,17,0xa0bc,192.168.0.103,142.250.192.99,63,0x00,54205,443,43,0x4fa5,1
1,1644570364.422978,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x1c0b,0x00,0,0,0,0,64,17,0x29a9,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x0386,1
1,1644570364.423618,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c45,0x40,0,1,0,0,56,17,0x9ceb,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x6235,1
1,1644570364.423618,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c46,0x40,0,1,0,0,56,17,0x9cea,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0xeb0d,1
1,1644570364.423618,1250,1250,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c47,0x40,0,1,0,0,56,17,0x9ce9,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x0e45,1
1,1644570364.423619,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0xbca4,1
1,1644570364.42362,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c48,0x40,0,1,0,0,56,17,0x9ce8,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x5045,1
1,1644570364.42362,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c49,0x40,0,1,0,0,56,17,0x9ce7,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x23f7,1
1,1644570364.423621,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4a,0x40,0,1,0,0,56,17,0x9ce6,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0xe0e9,1
1,1644570364.423621,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4b,0x40,0,1,0,0,56,17,0x9ce5,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x6939,1
1,1644570364.423622,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4c,0x40,0,1,0,0,56,17,0x9ce4,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x8a37,1
